order_id,customer_id,product_id,order_date,quantity,unit_price,status
O003808,C0161,P0053,2023-08-03,0,481.33,cancelled
O002518,C0284,P0031,2022-09-26,1,303.53,returned
O000146,C0389,P0048,2024-01-29,-1,53.48,completed
O000982,C0219,P0066,08/16/2022,4,251.93,completed
O000516,C0125,P0017,2023-04-28,1,218.99,completed
O000782,C0349,P0059,2023-09-22,3,182.96,completed
O000736,C0121,P0075,2023-04-10,4,347.19,cancelled
O002606,C0366,P0013,2022-03-02,-1,130.29,completed
O004664,C0367,P0012,2022-02-16,-1,453.87,returned
O001472,C0215,P0015,2022-08-17,1,89.91,returned
O001538,C0374,P0012,2022-01-31,-1,367.56,returned
O000138,C0267,P0002,2022-11-30,3,341.64,cancelled
O004333,C0091,P0060,2022-12-11,-1,112.86,returned
O002174,C0162,P0047,2022-01-15,3,437.85,cancelled
O001226,C0093,P0036,2022-03-07,-1,231.64,completed
O002804,C0439,P0015,2023-11-06,1,66.79,completed
O004252,C0245,P0010,2024-04-26,2,161.48,completed
O003105,C0090,P0094,2022-07-17,3,479.31,completed
O004673,C0023,P0056,2023-09-10,0,294.97,cancelled
O003589,C0295,P0082,2024-02-16,4,417.8,completed
O002489,C0231,P0090,2022-03-05,1,34.21,returned
O000164,C0114,P0096,2023-11-02,1,73.89,completed
O000912,C0382,P0074,2022-12-15,2,409.7,returned
O000559,C0235,P0017,2024-05-12,-1,315.08,completed
O003195,C0165,P0018,2024-05-18,1,219.26,completed
O001640,C0285,P0043,2024-03-16,3,178.58,completed
O001596,C0186,P0041,2022-11-11,1,281.06,returned
O004560,C0258,P0015,2022-06-13,3,69.18,completed
O000933,C0033,P0069,2022-04-12,4,253.63,completed
O000188,C0340,P0043,2024-05-22,1,156.02,cancelled
O003516,C0384,P0036,05/30/2023,2,246.22,completed
O001410,C0460,P0086,2022-06-29,-1,546.51,completed
O004936,C0373,P0020,2023-07-28,4,464.81,completed
O003832,C0405,P0093,2023-09-07,3,30.07,returned
O004535,C0439,P0059,2022-12-27,1,197.22,cancelled
O002314,C0255,P0017,05/14/2022,-1,293.03,completed
O003234,C0444,P0017,2022-09-21,3,279.99,completed
O001876,C0415,P0086,2022-10-17,3,543.62,cancelled
O004774,C0418,P0035,2022-06-25,3,469.95,completed
O001517,C0388,P0034,2023-10-17,1,545.07,completed
O001476,C0368,P0079,2024-02-01,1,120.31,completed
O000567,C0410,P0057,11/14/2023,1,465.48,returned
O002961,C0353,P0009,2022-04-07,3,391.11,completed
O002737,C0082,P0010,2022-12-19,3,142.29,completed
O004490,C0371,P0054,2024-03-04,4,425.06,completed
O001414,C0284,P0095,03/10/2022,3,39.21,completed
O003951,C0239,P0013,2024-04-05,-1,127.0,completed
O002649,C0169,P0098,2023-12-12,3,46.91,completed
O004319,C0002,P0058,2023-02-16,1,210.99,completed
O002519,,P0001,2024-03-18,4,298.05,returned
O002707,C0459,P0019,05/08/2024,0,193.64,completed
O003206,C0033,P0048,2023-12-18,-1,44.62,completed
O002906,C0472,P0083,2023-11-14,1,205.49,completed
O003372,C0312,P0052,05/29/2022,4,79.71,completed
O000269,C0230,P0061,2022-03-29,2,17.66,returned
O003110,C0214,P0035,2022-03-04,0,480.77,completed
