product_id,name,category,brand,base_price
P0001,Resistance Bands Set,Sports,ActiveGear,336.73
P0002,Waterproof Rain Jacket,Clothing,StyleCo,306.51
P0003,Instant Pot 6-Quart,Home & Garden,HomeBase,269.39
P0004,Webcam 1080p,Electronics,ActiveGear,85.87
P0005,Gaming Mouse,Electronics,PremiumLine,138.61
P0006,Workout Gloves,Sports,NovaTech,113.7
P0007,Becoming,Books,GenericBrand,422.2
P0008,Atomic Habits,Books,TechNova,118.37
P0009,Compost Bin for Kitchen,Home & Garden,TechNova,403.49
P0010,LED Smart Bulb 4-Pack,Home & Garden,PremiumLine,137.52
P0011,Classic Crew Neck T-Shirt,Clothing,ActiveGear,456.99
P0012,Deep Work,Books,UrbanEdge,438.79
P0013,Swim Goggles Anti-Fog,Sports,GenericBrand,110.24
P0014,Non-Stick Frying Pan Set,Home & Garden,ApexWear,200.83
P0015,Trekking Poles Collapsible,Sports,ApexWear,75.71
P0016,Long Sleeve Henley,Clothing,HomeBase,127.07
P0017,Foam Roller for Muscle Recovery,Sports,NovaTech,271.78
P0018,Gym Bag with Wet Pocket,Sports,UrbanEdge,217.06
P0019,Thinking Fast and Slow,Books,UrbanEdge,202.69
P0020,Running Shorts,Clothing,ActiveGear,498.67
P0021,Wool Blend Scarf,Clothing,HomeBase,257.21
P0022,Scented Soy Candle Set,Home & Garden,StyleCo,379.1
P0023,Cycling Gloves,Sports,StyleCo,80.65
P0024,4K Smart TV 55-inch,Electronics,HomeBase,397.07
P0025,Tennis Racket Beginner,Sports,PremiumLine,300.21
P0026,The Psychology of Money,Books,PremiumLine,193.89
P0027,Zero to One,Books,ApexWear,266.9
P0028,Water Resistant Running Belt,Sports,NovaTech,431.08
P0029,Puffer Vest,Clothing,TechNova,341.73
P0030,Insulated Sports Water Bottle,Sports,StyleCo,342.44
P0031,Floral Summer Dress,Clothing,NovaTech,376.67
P0032,Slim Fit Jeans,Clothing,GenericBrand,60.21
P0033,Stainless Steel Water Bottle,Home & Garden,PremiumLine,83.28
P0034,Yoga Leggings,Clothing,TechNova,477.13
P0035,Jump Rope Speed Cable,Sports,PageTurner,486.07
P0036,Denim Jacket,Clothing,HomeBase,256.29
P0037,Noise Cancelling Earbuds,Electronics,StyleCo,435.9
P0038,Portable Bluetooth Speaker,Electronics,PageTurner,421.62
P0039,Garden Kneeler and Seat,Home & Garden,NovaTech,306.43
P0040,Sapiens: A Brief History of Humankind,Books,HomeBase,190.08
P0041,External SSD 1TB,Electronics,HomeBase,271.98
P0042,Adjustable Dumbbell 25lb,Sports,NovaTech,459.64
P0043,Cotton Polo Shirt,Clothing,UrbanEdge,165.45
P0044,Graphic Tee,Clothing,TechNova,60.36
P0045,Whey Protein Powder Vanilla,Sports,GenericBrand,439.96
P0046,Tablet 10-inch,Electronics,PageTurner,123.52
P0047,Laptop Computer 15-inch,Electronics,ActiveGear,439.6
P0048,Educated: A Memoir,Books,StyleCo,47.39
P0049,Bamboo Cutting Board,Home & Garden,ApexWear,408.92
P0050,The Alchemist,Books,NovaTech,384.08
P0051,The Lean Startup,Books,HomeBase,331.57
P0052,Chino Pants,Clothing,NovaTech,86.73
P0053,Robot Vacuum Cleaner,Home & Garden,NovaTech,436.84
P0054,Microfiber Cleaning Cloths,Home & Garden,PremiumLine,482.35
P0055,Ceramic Coffee Mug,Home & Garden,NovaTech,378.85
P0056,Yoga Mat Non-Slip,Sports,ActiveGear,357.9
P0057,Wireless Charging Pad,Electronics,PremiumLine,497.59
P0058,1984,Books,GenericBrand,221.85
P0059,Wireless Bluetooth Headphones,Electronics,NovaTech,228.48
P0060,Shower Curtain Liner,Home & Garden,ActiveGear,116.22
P0061,Blackout Curtains 2-Pack,Home & Garden,GenericBrand,15.4
P0062,The Power of Now,Books,NovaTech,118.9
P0063,Clean Code,Books,ActiveGear,8.55
P0064,The Pragmatic Programmer,Books,TechNova,118.32
P0065,Dune,Books,TechNova,430.51
P0066,Mechanical Keyboard,Electronics,StyleCo,259.5
P0067,Knee Compression Sleeve,Sports,PageTurner,336.13
P0068,Smartwatch Fitness Tracker,Electronics,ActiveGear,271.91
P0069,LED Desk Lamp with USB Port,Electronics,UrbanEdge,290.21
P0070,Hooded Sweatshirt,Clothing,ActiveGear,393.38
P0071,Fleece Pullover,Clothing,PremiumLine,99.24
P0072,Memory Foam Pillow,Home & Garden,StyleCo,331.19
P0073,Air Purifier HEPA,Home & Garden,GenericBrand,214.66
